

  id  |        name        |  country   | byear | position 
 JS31 | Javier Sánchez     | Spain      |  1997 | DF
 TK08 | Toni Kroos         | Germany    |  1990 | MF
 LM10 | Luka Modrić        | Croatia    |  1985 | MF
 CM14 | Casemiro           | Brazil     |  1992 | MF
 FV15 | Federico Valverde  | Uruguay    |  1998 | MF
 LV17 | Lucas Vázquez      | Spain      |  1991 | MF
 ML18 | Marcos Llorente    | Spain      |  1995 | MF
 MA20 | Marco Asensio      | Spain      |  1996 | MF
 IA22 | Isco               | Spain      |  1992 | MF
 DC24 | Dani Ceballos      | Spain      |  1996 | MF
 MD07 | Mariano Díaz       | Dominican  |  1993 | FW
 KB09 | Karim Benzema      | France     |  1987 | FW
 GB11 | Gareth Bale        | Wales      |  1989 | FW
 VJ28 | Vinicius Jr        | Brazil     |  2000 | FW
 MR35 | Mohamet Ramos      | Spain      |  2000 | GK
 TH15 | Theo Hernández     | France     |  1997 | DF
 AH19 | Achraf Hakimi      | Morocco    |  1998 | DF
 MK23 | Mateo Kovacic      | Croatia    |  1994 | MF
 CR07 | Cristiano Ronaldo  | Portugal   |  1985 | FW
 BM21 | Borja Mayoral      | Spain      |  1997 | FW
 RY25 | Ruben Yanez        | Spain      |  1993 | GK
 PP03 | Pepe               | Portugal   |  1983 | DF
 FC15 | Fábio Coentrão     | Portugal   |  1988 | DF
 DP23 | Danilo             | Brazil     |  1991 | DF
 AT27 | Álvaro Tejero      | Spain      |  1996 | DF
 JR10 | James Rodriguez    | Colombia   |  1991 | MF
 AM21 | Alvaro Morata      | Spain      |  1992 | FW
 DC21 | Denis Cheryshev    | Russia     |  1990 | MF
 JS20 | Jese               | Spain      |  1993 | FW
 IC01 | Iker Casillas      | Spain      |  1981 | GK
 FP25 | Fernando Pacheco   | Spain      |  1992 | GK
 AA17 | Álvaro Arbeloa     | Spain      |  1983 | DF
 SK06 | Sami Khedira       | Germany    |  1987 | MF
 LS16 | Lucas Silva        | Brazil     |  1993 | MF
 AI24 | Asier Illarramendi | Spain      |  1990 | MF
 AM26 | Álvaro Medrán      | Spain      |  1994 | MF
 LT35 | Lucas Torro        | Spain      |  1994 | MF
 JH14 | Javier Hernández   | Mexico     |  1988 | FW
 KN01 | Keylor Navas       | Costa Rica |  1986 | GK
 KC13 | Kiko Casilla       | Spain      |  1986 | GK
 TC25 | Thibaut Courtois   | Belgium    |  1992 | GK
 DC02 | Daniel Carvajal    | Spain      |  1992 | DF
 JV03 | Jesús Vallejo      | Spain      |  1997 | DF
 SR04 | Sergio Ramos       | Spain      |  1986 | DF
 RV05 | Raphael Varane     | France     |  1993 | DF
 NF06 | Nacho              | Spain      |  1990 | DF
 MV12 | Marcelo            | Brazil     |  1988 | DF
 AO19 | Alvaro Odriozola   | Spain      |  1995 | DF
 SR23 | Sergio Reguilón    | Spain      |  1996 | DF
 JS31 | Javier Sánchez     | Spain      |  1997 | DF
 TK08 | Toni Kroos         | Germany    |  1990 | MF
 LM10 | Luka Modric        | Croatia    |  1985 | MF
 CM14 | Casemiro           | Brazil     |  1992 | MF
 FV15 | Federico Valverde  | Uruguay    |  1998 | MF
 LV17 | Lucas Vázquez      | Spain      |  1991 | MF
 ML18 | Marcos Llorente    | Spain      |  1995 | MF
 MA20 | Marco Asensio      | Spain      |  1996 | MF
 IA22 | Isco               | Spain      |  1992 | MF
 DC24 | Dani Ceballos      | Spain      |  1996 | MF
 MD07 | Mariano Díaz       | Dominican  |  1993 | FW
 KB09 | Karim Benzema      | France     |  1987 | FW
 GB11 | Gareth Bale        | Wales      |  1989 | FW
 VJ28 | Vinicius Jr        | Brazil     |  2000 | FW
 MR35 | Mohamet Ramos      | Spain      |  2000 | GK
 TH15 | Theo Hernández     | France     |  1997 | DF
 AH19 | Achraf Hakimi      | Morocco    |  1998 | DF
 MK23 | Mateo Kovacic      | Croatia    |  1994 | MF
 CR07 | Cristiano Ronaldo  | Portugal   |  1985 | FW
 BM21 | Borja Mayoral      | Spain      |  1997 | FW
 RY25 | Ruben Yanez        | Spain      |  1993 | GK
 PP03 | Pepe               | Portugal   |  1983 | DF
 FC15 | Fábio Coentrão     | Portugal   |  1988 | DF
 DP23 | Danilo             | Brazil     |  1991 | DF
 AT27 | Álvaro Tejero      | Spain      |  1996 | DF
 JR10 | James Rodriguez    | Colombia   |  1991 | MF
 AM21 | Alvaro Morata      | Spain      |  1992 | FW
 DC21 | Denis Cheryshev    | Russia     |  1990 | MF
 JS20 | Jese               | Spain      |  1993 | FW
 IC01 | Iker Casillas      | Spain      |  1981 | GK
 FP25 | Fernando Pacheco   | Spain      |  1992 | GK
 AA17 | Álvaro Arbeloa     | Spain      |  1983 | DF
 SK06 | Sami Khedira       | Germany    |  1987 | MF
 LS16 | Lucas Silva        | Brazil     |  1993 | MF
 AI24 | Asier Illarramendi | Spain      |  1990 | MF
 AM26 | Álvaro Medrán      | Spain      |  1994 | MF
 LT35 | Lucas Torro        | Spain      |  1994 | MF
 JH14 | Javier Hernández   | Mexico     |  1988 | FW
(196 rows)

 player | fmatchday | num 
--------+-----------+-----
 IC01   | 01.09.11  |   1
 KN01   | 15.09.15  |   1
 AA17   | 09.09.15  |   2
 RV05   | 12.09.18  |   2
 DC02   | 16.09.14  |   2
